2023-05-12 09:29:28	INFO	task_tracker/main.go:54	config: {{{task_tracker_1 chendu_task_tracke_c1 cluster chengdu} ns_group 0.0.0.0:8611} {info} {10.80.8.113:6831} {10000 300 http} {192.168.2.98:8613} {192.168.2.98:8612} {b9319d14e6795244645968ae4a83f0903518af3836c48f6d0ce9460bc815bc16 SEC319c35ae4bdc94d2c54752aeba9d3a8476786c265d83f348249b406558284df6} {kepler 10.80.7.25:27017 mt 123456 5} {10.80.7.28:7001,10.80.7.30:7001 kepler123456 10.80.7.28:7001,10.80.7.30:7001 kepler123456} {kepler}},  schedulerUrl: 192.168.2.98:8612
2023-05-12 09:29:28	INFO	tracing/setup.go:70	-------helo opts: %!(EXTRA jaeger.Options={  10.80.8.113:6831 <nil>    { []} 0})
2023-05-12 09:29:28	ERROR	task_tracker/main.go:72	init jaeger success 
2023-05-12 09:29:30	INFO	processor/order_processor.go:70	init redis cluster success
2023-05-12 09:29:30	INFO	processor/check_rep_processor.go:33	----init search replicate order num: 13 repChanSize:102413
2023-05-12 09:29:30	INFO	processor/replicate_porcessor.go:32	----init replicate order total_num: 8 rep_fail order_num: 2 upload finish order_num: 6 repChanSize:102408
2023-05-12 09:29:30	INFO	statemachine/order_uploadfinish.go:50	 uploadfinish : orderId: 8519a4e1-1b86-435b-84f6-e58bdcb4fbff, GetReplicationStrategy begin: 1683854970924 
2023-05-12 09:29:32	WARN	utils/utils.go:263	StateCtl HandleUploadFinishEvent, fail: Get "http://192.168.2.98:8613/strategy/v1/getReplicateStrategy": dial tcp 192.168.2.98:8613: connectex: No connection could be made because the target machine actively refused it., event: {"order_id":"8519a4e1-1b86-435b-84f6-e58bdcb4fbff","status":1}
2023-05-12 09:29:32	INFO	statemachine/order_uploadfinish.go:50	 uploadfinish : orderId: 100d837c-91f9-4c34-9daf-de7415889820, GetReplicationStrategy begin: 1683854972968 
2023-05-12 09:29:34	WARN	utils/utils.go:263	StateCtl HandleUploadFinishEvent, fail: Get "http://192.168.2.98:8613/strategy/v1/getReplicateStrategy": dial tcp 192.168.2.98:8613: connectex: No connection could be made because the target machine actively refused it., event: {"order_id":"100d837c-91f9-4c34-9daf-de7415889820","status":1}
2023-05-12 09:29:34	INFO	statemachine/order_uploadfinish.go:50	 uploadfinish : orderId: c831c75b-ebfc-4749-921e-607eb370c03e, GetReplicationStrategy begin: 1683854974999 
2023-05-12 09:29:37	WARN	utils/utils.go:263	StateCtl HandleUploadFinishEvent, fail: Get "http://192.168.2.98:8613/strategy/v1/getReplicateStrategy": dial tcp 192.168.2.98:8613: connectex: No connection could be made because the target machine actively refused it., event: {"order_id":"c831c75b-ebfc-4749-921e-607eb370c03e","status":1}
2023-05-12 09:29:37	INFO	statemachine/order_uploadfinish.go:50	 uploadfinish : orderId: f7c91764-6494-47b1-a99c-3c8a036c4563, GetReplicationStrategy begin: 1683854977026 
2023-05-12 09:29:39	WARN	utils/utils.go:263	StateCtl HandleUploadFinishEvent, fail: Get "http://192.168.2.98:8613/strategy/v1/getReplicateStrategy": dial tcp 192.168.2.98:8613: connectex: No connection could be made because the target machine actively refused it., event: {"order_id":"f7c91764-6494-47b1-a99c-3c8a036c4563","status":1}
2023-05-12 09:29:39	INFO	statemachine/order_uploadfinish.go:50	 uploadfinish : orderId: ba096bf6-13f0-4a84-86b4-2026a8255988, GetReplicationStrategy begin: 1683854979075 
2023-05-12 09:29:41	WARN	utils/utils.go:263	StateCtl HandleUploadFinishEvent, fail: Get "http://192.168.2.98:8613/strategy/v1/getReplicateStrategy": dial tcp 192.168.2.98:8613: connectex: No connection could be made because the target machine actively refused it., event: {"order_id":"ba096bf6-13f0-4a84-86b4-2026a8255988","status":1}
2023-05-12 09:29:41	INFO	statemachine/order_uploadfinish.go:50	 uploadfinish : orderId: a55a8d7b-a412-431e-a943-d4c90065989e, GetReplicationStrategy begin: 1683854981125 
2023-05-12 09:29:43	WARN	utils/utils.go:263	StateCtl HandleUploadFinishEvent, fail: Get "http://192.168.2.98:8613/strategy/v1/getReplicateStrategy": dial tcp 192.168.2.98:8613: connectex: No connection could be made because the target machine actively refused it., event: {"order_id":"a55a8d7b-a412-431e-a943-d4c90065989e","status":1}
2023-05-12 09:29:43	INFO	processor/delete_processor.go:30	----init delete order num: 0 deleteChanSize:102400
2023-05-12 09:29:43	INFO	processor/charge_processor.go:34	----init charge order num: 0 chanSize:102400
2023-05-12 09:29:43	INFO	task_tracker/main.go:124	starting api Server : 0.0.0.0:8611
2023-05-12 11:10:27	ERROR	utils/utils.go:265	ReplicateProcessor addRepEventToCache, fail: replicate count:50 more than 50, event: {"Count":50,"OrderId":"134b273e-ff35-4fa4-900b-1f5a975ee6bf"}
2023-05-12 11:12:14	ERROR	utils/utils.go:265	ReplicateProcessor addRepEventToCache, fail: replicate count:50 more than 50, event: {"Count":50,"OrderId":"4ef0dc3e-90f0-487e-9f22-9c36b4e6c611"}
